cluster
**Similarity**|**APIV1**|**APIV2**|**comment**
:-----:|:-----:|:-----:|:----:|
1.0|`sklearn/sklearn.cluster._birch/_CFNode/prev_leaf_`|`sklearn/sklearn.cluster._birch/_CFNode/prev_leaf_`|
1.0|`sklearn/sklearn.cluster._birch/_CFNode/next_leaf_`|`sklearn/sklearn.cluster._birch/_CFNode/next_leaf_`|
1.0|`sklearn/sklearn.cluster._birch/_CFNode/threshold`|`sklearn/sklearn.cluster._birch/_CFNode/threshold`|
1.0|`sklearn/sklearn.cluster._birch/_CFNode/branching_factor`|`sklearn/sklearn.cluster._birch/_CFNode/branching_factor`|
1.0|`sklearn/sklearn.cluster._birch/_CFNode/is_leaf`|`sklearn/sklearn.cluster._birch/_CFNode/is_leaf`|
1.0|`sklearn/sklearn.cluster._birch/_CFNode/centroids_`|`sklearn/sklearn.cluster._birch/_CFNode/centroids_`|
1.0|`sklearn/sklearn.cluster._birch/_CFSubcluster/child_`|`sklearn/sklearn.cluster._birch/_CFSubcluster/child_`|
1.0|`sklearn/sklearn.cluster._birch/_CFSubcluster/centroid_`|`sklearn/sklearn.cluster._birch/_CFSubcluster/centroid_`|
1.0|`sklearn/sklearn.cluster._dbscan/DBSCAN/eps`|`sklearn/sklearn.cluster._dbscan/DBSCAN/eps`|
1.0|`sklearn/sklearn.cluster._dbscan/DBSCAN/p`|`sklearn/sklearn.cluster._dbscan/DBSCAN/p`|
1.0|`sklearn/sklearn.cluster._dbscan/DBSCAN/core_sample_indices_`|`sklearn/sklearn.cluster._dbscan/DBSCAN/core_sample_indices_`|
1.0|`sklearn/sklearn.cluster._kmeans/KMeans/inertia_`|`sklearn/sklearn.cluster._kmeans/KMeans/inertia_`|
1.0|`sklearn/sklearn.cluster._kmeans/MiniBatchKMeans/init_size`|`sklearn/sklearn.cluster._kmeans/MiniBatchKMeans/init_size`|
1.0|`sklearn/sklearn.cluster._mean_shift/MeanShift/bandwidth`|`sklearn/sklearn.cluster._mean_shift/MeanShift/bandwidth`|
1.0|`sklearn/sklearn.cluster._mean_shift/MeanShift/seeds`|`sklearn/sklearn.cluster._mean_shift/MeanShift/seeds`|
1.0|`sklearn/sklearn.cluster._mean_shift/MeanShift/n_iter_`|`sklearn/sklearn.cluster._mean_shift/MeanShift/n_iter_`|
1.0|`sklearn/sklearn.cluster._kmeans/KMeans/n_iter_`|`sklearn/sklearn.cluster._kmeans/KMeans/n_iter_`|
1.0|`sklearn/sklearn.cluster._mean_shift/MeanShift/cluster_centers_`|`sklearn/sklearn.cluster._mean_shift/MeanShift/cluster_centers_`|
1.0|`sklearn/sklearn.cluster._affinity_propagation/AffinityPropagation/cluster_centers_`|`sklearn/sklearn.cluster._affinity_propagation/AffinityPropagation/cluster_centers_`|
1.0|`sklearn/sklearn.cluster._optics/OPTICS/max_eps`|`sklearn/sklearn.cluster._optics/OPTICS/max_eps`|
1.0|`sklearn/sklearn.cluster._optics/OPTICS/min_cluster_size`|`sklearn/sklearn.cluster._optics/OPTICS/min_cluster_size`|
1.0|`sklearn/sklearn.cluster._optics/OPTICS/metric_params`|`sklearn/sklearn.cluster._optics/OPTICS/metric_params`|
1.0|`sklearn/sklearn.cluster._dbscan/DBSCAN/metric_params`|`sklearn/sklearn.cluster._dbscan/DBSCAN/metric_params`|
1.0|`sklearn/sklearn.cluster._optics/OPTICS/eps`|`sklearn/sklearn.cluster._optics/OPTICS/eps`|
1.0|`sklearn/sklearn.cluster._optics/OPTICS/xi`|`sklearn/sklearn.cluster._optics/OPTICS/xi`|
1.0|`sklearn/sklearn.cluster._spectral/SpectralClustering/eigen_solver`|`sklearn/sklearn.cluster._spectral/SpectralClustering/eigen_solver`|
